 0.5340  0.3830  0.1160 -0.0340  0.0000  0.0000  0.0000
 0.2890  0.4100  0.2940  0.0610 -0.0540  0.0000  0.0000
 0.0340  0.2750  0.4000  0.2870  0.0580 -0.0530  0.0000
-0.0590  0.0590  0.2940  0.4130  0.2940  0.0590 -0.0590
 0.0000 -0.0530  0.0580  0.2870  0.4000  0.2750  0.0340
 0.0000  0.0000 -0.0540  0.0610  0.2940  0.4100  0.2890
 0.0000  0.0000  0.0000 -0.0340  0.1160  0.3830  0.5340
