 0.6700  0.4030 -0.0730  0.0000  0.0000
 0.2570  0.5220  0.2940 -0.0730  0.0000
-0.0730  0.2940  0.5580  0.2940 -0.0730
 0.0000 -0.0730  0.2940  0.5220  0.2570
 0.0000  0.0000 -0.0730  0.4030  0.6700
