 0.2460  0.2210  0.1970  0.1730  0.1120  0.0510  0.0000  0.0000  0.0000  0.0000  0.0000
 0.2080  0.1920  0.1760  0.1600  0.1440  0.0920  0.0280  0.0000  0.0000  0.0000  0.0000
 0.1730  0.1630  0.1540  0.1430  0.1330  0.1230  0.0790  0.0320  0.0000  0.0000  0.0000
 0.1410  0.1370  0.1320  0.1280  0.1230  0.1170  0.1130  0.0750  0.0340  0.0000  0.0000
 0.0840  0.1200  0.1180  0.1170  0.1160  0.1140  0.1130  0.1110  0.0730  0.0340  0.0000
 0.0370  0.0740  0.1110  0.1110  0.1110  0.1110  0.1110  0.1110  0.1110  0.0740  0.0370
 0.0000  0.0340  0.0730  0.1110  0.1130  0.1140  0.1160  0.1170  0.1180  0.1200  0.0840
 0.0000  0.0000  0.0340  0.0750  0.1130  0.1170  0.1230  0.1280  0.1320  0.1370  0.1410
 0.0000  0.0000  0.0000  0.0320  0.0790  0.1230  0.1330  0.1430  0.1540  0.1630  0.1730
 0.0000  0.0000  0.0000  0.0000  0.0280  0.0920  0.1440  0.1600  0.1760  0.1920  0.2080
 0.0000  0.0000  0.0000  0.0000  0.0000  0.0510  0.1120  0.1730  0.1970  0.2210  0.2460
